亜鉛	aen	zinc
山懐	yamahutokoro	heart of a mountain
内懐	utibutokoro	inside pocket
追懐	tuikai	recollection
胸懐	kyookai	heart
抱懐	hookai	harboring
所懐	syokai	one's opinion
弾劾	dangai	impeachment
生涯	syoogai	one's lifetime
境涯	kyoogai	circumstances
天涯	tengai	horizon
街頭	gaitoo	in the street
街道	kaidoo	highway
街角	matikado	street corner
街中	matizyuu	the whole town
街路	gairo	road
街宣	gaisen	propaganda activity on the streets
街灯	gaitoo	street light
街娼	gaisyoo	prostitute
街並	matinami	street
街衢	gaiku	town
市街	sigai	urban areas
花街	hanamati	red-light district
色街	iromati	red-light district
慨嘆	gaitan	deploring
感慨	kangai	strong feelings
憤慨	hungai	indignation
慷慨	koogai	righteous indignation
該当	gaitoo	corresponding to
該博	gaihaku	profundity
当該	toogai	appropriate
概算	gaisan	approximation
概要	gaiyoo	outline
概念	gainen	general idea
概況	gaikyoo	outlook
概観	gaikan	general view
概略	gairyaku	outline
概数	gaisuu	round numbers
概論	gairon	introduction
概説	gaisetu	general statement
概括	gaikatu	summary
概評	gaihyoo	general view
気概	kigai	strong spirit
大概	taigai	in general
梗概	koogai	outline
垣根	kakine	hedge
石垣	isigaki	stone wall
人垣	hitogaki	crowd of people
生垣	ikegaki	hedge
玉垣	tamagaki	fence around a shrine
友垣	tomogaki	friend
拡大	kakudai	magnification
拡散	kakusan	scattering
拡充	kakuzyuu	expansion
拡張	kakutyoo	expansion
拡幅	kakuhuku	widening
拡声	kakusei	amplification
拡販	kakuhan	sales promotion
軍拡	gunkaku	military expansion
核心	kakusin	core
核酸	kakusan	nucleic acid
核種	kakusyu	nuclide
核果	kakka	drupe
中核	tyuukaku	kernel
非核	hikaku	non-nuclear
結核	kekkaku	tuberculosis
反核	hankaku	anti-nuclear
痔核	zikaku	hemorrhoid
地核	tikaku	earth core
地殻	tikaku	earth's crust
貝殻	kaigara	shell
甲殻	kookaku	carapace
茶殻	tyagara	used tea leaves
卵殻	rankaku	eggshell
吸殻	suigara	cigarette end
籾殻	momigara	rice husks
紅殻	benigara	red iron oxide
抜殻	nukegara	cast-off skin
郭公	kakkoo	common cuckoo
外郭	gaikaku	outer wall
輪郭	rinkaku	contour
遊郭	yuukaku	red light district
城郭	zyookaku	fortress
胸郭	kyookaku	chest
一郭	ikkaku	one block
較正	koosei	calibration
較差	kakusa	range
比較	hikaku	comparison
隔離	kakuri	isolation
隔週	kakusyuu	every other week
隔年	kakunen	biannually
隔月	kakugetu	every second month
隔壁	kakuheki	barrier wall
隔絶	kakuzetu	isolation
隔世	kakusei	previous age
隔日	kakuzitu	every other day
隔意	kakui	reserved
隔膜	kakumaku	partition
間隔	kankaku	space
遠隔	enkaku	distant
懸隔	kenkaku	difference
疎隔	sokaku	alienation
閣僚	kakuryoo	cabinet ministers
閣議	kakugi	cabinet meeting
閣内	kakunai	Cabinet
閣外	kakugai	outside the Cabinet
閣下	kakka	your Excellency
閣員	kakuin	Cabinet Minister
内閣	naikaku	cabinet
入閣	nyuukaku	joining the cabinet
組閣	sokaku	formation of a cabinet
倒閣	tookaku	overthrow of government
仏閣	bukkaku	Buddhist temple
楼閣	rookaku	multistoried building
高閣	kookaku	tall building
獲得	kakutoku	acquisition
獲物	emono	game
捕獲	hokaku	capture
漁獲	gyokaku	fishing
乱獲	rankaku	excessive fishing
鹵獲	rokaku	capture
威嚇	ikaku	menace
収穫	syuukaku	harvest
岳父	gakuhu	father-in-law
山岳	sangaku	mountains
富岳	hugaku	Mount Fuji
干潟	higata	tidal flat
括弧	kakko	parentheses
総括	sookatu	synthesis
包括	hookatu	inclusion
一括	ikkatu	all together
統括	tookatu	unification
概括	gaikatu	summary
喝采	kassai	acclamation
喝破	kappa	arguing someone down
恐喝	kyookatu	blackmail
一喝	ikkatu	cry in a thundering voice
恫喝	dookatu	intimidation
大喝	daikatu	shouting in a thunderous voice
渇望	katuboo	craving
渇水	kassui	water shortage
渇仰	katugoo	adoration
枯渇	kokatu	drying up
飢渇	kikatu	hunger and thirst
滑走	kassoo	gliding
滑降	kakkoo	descent
滑稽	kokkei	funny
滑稽	kokkei	funny
滑空	kakkuu	gliding
滑車	kassya	pulley
滑石	kasseki	talc
円滑	enkatu	smooth
潤滑	zyunkatu	smoothness
平滑	heikatu	smooth
平滑	heikatu	smooth
褐色	kassyoku	dark brown
褐炭	kattan	brown coal
褐藻	kassoo	brown algae
管轄	kankatu	jurisdiction
直轄	tyokkatu	direct control
所轄	syokatu	jurisdiction
統轄	tookatu	unification
株式	kabusiki	stock
株価	kabuka	stock prices
株主	kabunusi	shareholder
株券	kabuken	stock certificate
新株	sinkabu	new stocks or shares
古株	hurukabu	old-timer
子株	kokabu	new bulb
持株	motikabu	stock holdings
根株	nekabu	stump
空株	karakabu	fictitious stock
端株	hakabu	odd lot
切株	kirikabu	stump
旧株	kyuukabu	old stock
親株	oyakabu	parent root or stock
頭株	atamakabu	chief
満株	mankabu	full subscription
守株	syusyu	lack of innovation
実株	zitukabu	shares actually traded
鎌鼬	kamaitati	, thought to be a trio of weasels who appear in a whirlwind to cut their victim
鎌髭	kamahige	sickle-shaped moustache
鎖鎌	kusarigama	sickle and chain
刈穂	kariho	harvested grain
肝臓	kanzoo	liver
肝炎	kanen	hepatitis
肝心	kanzin	essential
肝要	kanyoo	essential
肝腎	kanzin	essential
肝胆	kantan	the liver and gall bladder
肝腎	kanzin	essential
肝心	kanzin	essential
肝油	kanyu	fish-liver oil
肝煎	kimoiri	performing good offices
肝玉	kimodama	guts
度肝	dogimo	guts
心肝	sinkan	heart
冠水	kansui	being covered with water
冠者	kanzya	young person
冠状	kanzyoo	coronary
冠詞	kansi	article
冠省	kansyoo	Forgive me for dispensing with the preliminaries, but I hasten to inform you that...
冠絶	kanzetu	unique
栄冠	eikan	laurels
王冠	ookan	crown
桂冠	keikan	crown of laurel
無冠	mukan	uncrowned
戴冠	taikan	coronation
弱冠	zyakkan	aged 20
極冠	kyokkan	polar cap
花冠	kakan	corolla
宝冠	hookan	diadem
草冠	kusakanmuri	"kanji ""grass radical"" "
衣冠	ikan	kimono and ancient head-dress
金冠	kinkan	gold crown
鶏冠	keikan	cockscomb
樹冠	zyukan	tree canopy
挂冠	keikan	resigning from a government post
加冠	kakan	crowning a boy with a traditional cap for the first time at a coming-of-age ceremony
荊冠	keikan	crown of thorns
御冠	okanmuri	bad temper
看護	kango	nursing
看板	kanban	signboard
看守	kansyu	jailer
看病	kanbyoo	nursing
看過	kanka	connivance
看取	kansyu	seeing through
看破	kanpa	penetration
看経	kankin	silent reading of sutra
看貫	kankan	weighing
准看	zyunkan	practical nurse
陥落	kanraku	fall
陥没	kanbotu	cave-in
陥穽	kansei	trap
欠陥	kekkan	defect
失陥	sikkan	surrender
勘定	kanzyoo	calculation
勘案	kanan	taking into consideration
勘弁	kanben	pardon
勘当	kandoo	disinheritance
勘所	kandokoro	finger board
勘気	kanki	disfavor
割勘	warikan	splitting the cost
山勘	yamakan	guesswork
貫禄	kanroku	presence
貫通	kantuu	pierce
貫録	kanroku	presence
貫徹	kantetu	accomplishment
貫主	kansyu	chief abbot
貫首	kanzyu	chief abbot
貫入	kannyuu	penetration
貫流	kanryuu	flowing through
貫目	kanme	unit of weight, approx. 3.75 kg
貫目	kanme	unit of weight, approx. 3.75 kg
一貫	ikkan	consistency
突貫	tokkan	charge
縦貫	zyuukan	running through
指貫	yubinuki	thimble
満貫	mangan	
看貫	kankan	weighing
目貫	menuki	sword hilt
喚問	kanmon	summons
喚起	kanki	arousal
喚声	kansei	shout
召喚	syookan	summons
叫喚	kyookan	shout
堪能	tannoo	proficient
堪能	kannoo	proficient
堪忍	kannin	pardon
不堪	hukan	incompetence
敢闘	kantoo	fighting bravely
敢行	kankoo	decisive action
敢然	kanzen	boldly
敢為	kani	daring
果敢	kakan	resolute
勇敢	yuukan	brave
果敢	kakan	resolute
勇敢	yuukan	brave
棺桶	kanoke	coffin
納棺	nookan	placing of body in coffin
石棺	sekkan	sarcophagus
出棺	syukkan	carrying out a coffin
借款	syakkan	loan
約款	yakkan	agreement
定款	teikan	articles of incorporation
落款	rakkan	sign and seal
閑静	kansei	quiet
閑散	kansan	deserted
閑散	kansan	deserted
閑居	kankyo	quiet and secluded life
閑職	kansyoku	leisurely post
閑々	kankan	quietly
閑話	kanwa	quiet conversation
閑雅	kanga	refined
閑人	himazin	person with a lot of free time on their hands
閑談	kandan	quiet conversation
閑暇	kanka	leisure
閑閑	kankan	quietly
閑却	kankyaku	negligence
閑寂	kanzyaku	quiet
閑地	kanti	quiet place
閑寂	kanzyaku	quiet
閑静	kansei	quiet
安閑	ankan	easygoingness
有閑	yuukan	leisured
長閑	nodoka	tranquil
清閑	seikan	peaceful
森閑	sinkan	silence
等閑	naozari	neglect
繁閑	hankan	press and slack of business
閑閑	kankan	quietly
深閑	sinkan	silent
休閑	kyuukan	fallowing
小閑	syookan	short interval of leisure
消閑	syookan	killing time
等閑	tookan	neglect
勧告	kankoku	advice
勧誘	kanyuu	invitation
勧奨	kansyoo	encouragement
勧業	kangyoo	industry
勧進	kanzin	temple solicitation
勧学	kangaku	encouragement of learning
勧請	kanzyoo	praying for the coming of a deity
勧降	kankoo	call to surrender
寛容	kanyoo	tolerance
寛大	kandai	tolerance
寛仁	kanzin	magnanimous
寛永	kanei	Kan'ei era
寛大	kandai	tolerance
寛仁	kanzin	magnanimous
寛弘	kankoo	Kankou era
寛解	kankai	remission
寛恕	kanzyo	magnanimity
幹部	kanbu	management
幹事	kanzi	executive secretary
幹線	kansen	main line
根幹	konkan	foundation
基幹	kikan	mainstay
主幹	syukan	chief editor
脳幹	nookan	brain stem
樹幹	zyukan	trunk
骨幹	kokkan	skeleton
才幹	saikan	ability
語幹	gokan	stem
歓迎	kangei	welcome
歓声	kansei	cheer
歓喜	kanki	delight
歓談	kandan	pleasant talk
歓待	kantai	warm reception
歓呼	kanko	acclamation
歓送	kansoo	hearty send-off
歓心	kansin	favour
歓楽	kanraku	pleasure
哀歓	aikan	joys and sorrows
交歓	kookan	exchange of courtesies
合歓	gookan	enjoying pleasure together
監督	kantoku	supervision
監視	kansi	monitoring
監査	kansa	inspection
監禁	kankin	confinement
監修	kansyuu	supervision
監察	kansatu	inspection
監理	kanri	superintendence
監事	kanzi	auditor
監獄	kangoku	prison
監訳	kanyaku	supervisor of translation
監房	kanboo	cell
監護	kango	custody and care
収監	syuukan	imprisonment
総監	sookan	inspector general
統監	tookan	supervision
舎監	syakan	dormitory dean
緩和	kanwa	relief
緩急	kankyuu	pace
緩衝	kansyoo	buffered
緩慢	kanman	slow
緩行	kankoo	going slowly
緩徐	kanzyo	gentle and quiet
緩解	kankai	remission
弛緩	sikan	relaxation
遺憾	ikan	regrettable
還元	kangen	reduction
還暦	kanreki	60th birthday
還付	kanpu	return
還流	kanryuu	return current
還俗	genzoku	return to secular life
還幸	kankoo	return of the Emperor
返還	henkan	return
帰還	kikan	repatriation
生還	seikan	returning alive
送還	sookan	sending home
奪還	dakkan	recovery
償還	syookan	repayment
召還	syookan	recall
往還	ookan	traffic
奉還	hookan	restoring to the emperor
環境	kankyoo	environment
環状	kanzyoo	annulation
環礁	kansyoo	atoll
環視	kansi	looking around
環海	kankai	surrounding seas
環節	kansetu	segment
一環	ikkan	link
循環	zyunkan	circulation
金環	kinkan	gold ring
苧環	odamaki	fan columbine
艦船	kansen	vessels
艦長	kantyoo	captain
艦隊	kantai	fleet
艦艇	kantei	military vessel
艦載	kansai	carried aboard a warship
艦上	kanzyoo	aboard a warship
艦橋	kankyoo	bridge
軍艦	gunkan	warship
戦艦	senkan	battleship
旗艦	kikan	flagship
母艦	bokan	mother ship
乗艦	zyookan	joining one's warship
敵艦	tekikan	enemy ship
巨艦	kyokan	large warship
帰艦	kikan	ship
砲艦	hookan	gunboat
僚艦	ryookan	consort ship
鑑定	kantei	judgement
鑑賞	kansyoo	appreciation
鑑別	kanbetu	discrimination
鑑識	kansiki	judgement
鑑札	kansatu	licence
鑑査	kansa	inspection
名鑑	meikan	directory
印鑑	inkan	stamp
図鑑	zukan	illustrated reference book
年鑑	nenkan	yearbook
手鑑	tekagami	collection of handwriting
大鑑	taikan	encyclopedia
宝鑑	hookan	superb or valuable book
武鑑	bukan	book of heraldry
眼鏡	megane	spectacles
眼科	ganka	ophthalmology
眼前	ganzen	before one's eyes
眼下	ganka	under one's eyes
眼球	gankyuu	eyeball
眼目	ganmoku	core
眼光	gankoo	glint in eye
眼力	ganriki	insight
眼中	gantyuu	consideration
眼底	gantei	fundus of the eye
眼瞼	ganken	eyelid
眼窩	ganka	eye socket
眼帯	gantai	eyepatch
眼福	ganpuku	a sight for sore eyes
眼疾	gansitu	eye disease
眼識	gansiki	discrimination
主眼	syugan	main point
一眼	itigan	one eye
肉眼	nikugan	naked eye
開眼	kaigan	enlightenment
複眼	hukugan	compound eyes
老眼	roogan	presbyopia
着眼	tyakugan	notice
法眼	hoogen	the dharma eye
点眼	tengan	dropping medicine in the eyes
裸眼	ragan	naked eye
血眼	timanako	bloodshot eyes
慧眼	keigan	eye
心眼	singan	the mind's eye
近眼	kingan	nearsightedness
酔眼	suigan	bleary or drunken eyes
白眼	hakugan	whites of the eyes
義眼	gigan	artificial eye
象眼	zoogan	inlay
洗眼	sengan	washing the eyes
隻眼	sekigan	eye
検眼	kengan	eye examination
半眼	hangan	with eyes half-closed
青眼	seigan	aiming at the eye
単眼	tangan	one eye
緑眼	ryokugan	green eyes
天眼	tengan	the heavenly eye
炯眼	keigan	penetrating eyes
正眼	seigan	aiming at the eye
碧眼	hekigan	blue eyes
慧眼	keigan	eye
双眼	soogan	both eyes
独眼	dokugan	one-eyed
冷眼	reigan	cold look
炯眼	keigan	penetrating eyes
具眼	gugan	discerning
遠眼	engan	farsightedness
慈眼	zigen	merciful eye
銃眼	zyuugan	loophole
頑固	ganko	stubbornness
頑丈	ganzyoo	solid
頑強	gankyoo	stubborn
頑固	ganko	stubbornness
頑迷	ganmei	bigotry
頑健	ganken	robust health
頑丈	ganzyoo	solid
頑強	gankyoo	stubborn
頑健	ganken	robust health
頑迷	ganmei	bigotry
頑愚	gangu	obstinate and foolish
企業	kigyoo	enterprise
企画	kikaku	planning
企図	kito	plan
伎楽	gigaku	ancient music
伎芸	gigei	art of kabuki
伎倆	giryoo	ability
岐路	kiro	forked road
多岐	taki	digression
分岐	bunki	divergence
忌避	kihi	evasion
忌憚	kitan	reserve
忌引	kibiki	due to mourning
忌日	kizitu	anniversary of a person's death
忌中	kityuu	mourning
忌詞	imikotoba	taboo word
忌諱	kii	displeasure
回忌	kaiki	death anniversary
周忌	syuuki	death anniversary
禁忌	kinki	taboo
遠忌	enki	13th or later anniversary of a death
年忌	nenki	death anniversary
嫌忌	kenki	dislike
物忌	monoimi	fasting
汽車	kisya	train
汽笛	kiteki	steam whistle
汽船	kisen	steamship
汽缶	kikan	boiler
奇跡	kiseki	miracle
奇妙	kimyoo	strange
奇襲	kisyuu	surprise attack
奇抜	kibatu	novel
奇策	kisaku	clever scheme
奇麗	kirei	pretty
奇異	kii	odd
奇形	kikei	birth defect
奇数	kisuu	odd number
奇声	kisei	strange voice
奇岩	kigan	strangely shaped rocks
奇人	kizin	queer fellow
奇蹟	kiseki	miracle
奇想	kisoo	fantastic idea
奇行	kikoo	eccentricity
奇才	kisai	genius
奇手	kisyu	surprise move
奇術	kizyutu	magic
奇病	kibyoo	strange disease
奇貨	kika	curiosity
奇書	kisyo	unusual book
奇弁	kiben	sophistry
奇瑞	kizui	omen
奇観	kikan	wonderful sight
奇談	kidan	romantic story
奇特	kitoku	praiseworthy
奇問	kimon	tricky question
奇縁	kien	strange coincidence
奇遇	kiguu	unexpected meeting
奇習	kisyuu	strange custom
奇矯	kikyoo	eccentric
奇遇	kiguu	unexpected meeting
奇態	kitai	strange
奇矯	kikyoo	eccentric
奇偶	kiguu	odd and even numbers
奇聞	kibun	strange news
奇計	kikei	clever scheme
奇特	kitoku	praiseworthy
奇癖	kiheki	strange habit
奇警	kikei	witty
奇態	kitai	strange
好奇	kooki	inquisitiveness
数奇	suuki	misfortune
怪奇	kaiki	bizarre
猟奇	ryooki	seeking the bizarre
伝奇	denki	romance
新奇	sinki	novel
珍奇	tinki	strange
怪奇	kaiki	bizarre
偏奇	henki	eccentricity
新奇	sinki	novel
数奇	suki	refined taste
紀行	kikoo	traveller's journal
紀元	kigen	era
紀要	kiyoo	bulletin
紀律	kiritu	order
紀伝	kiden	biography
世紀	seiki	century
党紀	tooki	party discipline
綱紀	kooki	law and order
風紀	huuki	public morals
皇紀	kooki	Imperial era
軍紀	gunki	military discipline
芳紀	hooki	attractiveness
西紀	seiki	Christian era
軌道	kidoo	orbit
軌跡	kiseki	tire track
軌条	kizyoo	rail
軌間	kikan	gauge
常軌	zyooki	proper course
狭軌	kyooki	narrow gauge
広軌	kooki	broad gauge
既存	kison	existing
既成	kisei	established
既得	kitoku	vested
既婚	kikon	marriage
既定	kitei	default
既製	kisei	ready-made
既刊	kikan	already published
既報	kihoo	previous report
既設	kisetu	established
既知	kiti	already known
既遂	kisui	something already finished
既往	kioo	the past
既習	kisyuu	already learned
既決	kiketu	decided
既出	kisyutu	something previously covered
皆既	kaiki	total eclipse
飢餓	kiga	starvation
飢饉	kikin	famine
飢死	uezini	starvation
飢渇	kikatu	hunger and thirst
鬼門	kimon	direction
鬼才	kisai	wizard
鬼気	kiki	ghastly
鬼畜	kitiku	brute
鬼神	onigami	fierce god
鬼籍	kiseki	roster of the dead
鬼子	onigo	child born with teeth
鬼女	kizyo	demoness
鬼瓦	onigawara	decorative ridge-end tile
鬼面	kimen	mask of a devil
鬼哭	kikoku	wailings of a restless ghost
鬼火	onibi	will-o'-the-wisp
鬼婆	onibaba	hag
鬼灯	hoozuki	ground cherry
鬼胎	kitai	anxiety
餓鬼	gaki	brat
悪鬼	akki	evil spirit
幽鬼	yuuki	ghost
債鬼	saiki	cruel creditor
基本	kihon	foundation
基準	kizyun	standard
基地	kiti	base
基礎	kiso	foundation
基金	kikin	fund
基盤	kiban	foundation
基調	kityoo	basis
基幹	kikan	mainstay
